event_id,event_time_s,event,signal,can_id,value,sample_time_s,age_ms,unit,source,status
E01,0.15,初始P挡参考状态,DI_gear,0x118,P,0.1434,6.6,enum/raw,input/tesla_model3_ONYX.dbc,available
E01,0.15,初始P挡参考状态,DI_systemState,0x118,STANDBY,0.1434,6.6,enum/raw,input/tesla_model3_ONYX.dbc,available
E01,0.15,初始P挡参考状态,DI_accelPedalPos,0x118,0.0,0.1434,6.6,%,input/tesla_model3_ONYX.dbc,available
E01,0.15,初始P挡参考状态,DI_torqueCommand,0x108,0.0,0.0641,85.9,Nm,input/tesla_model3_ONYX.dbc,available
E01,0.15,初始P挡参考状态,DI_torqueActual,0x108,0.0,0.0641,85.9,Nm,input/tesla_model3_ONYX.dbc,available
E01,0.15,初始P挡参考状态,DI_axleSpeed,0x108,0.0,0.0641,85.9,RPM,input/tesla_model3_ONYX.dbc,available
E01,0.15,初始P挡参考状态,DI_vehicleSpeed,0x257,0.0,0.1438,6.2,kph,input/tesla_model3_ONYX.dbc,available
E01,0.15,初始P挡参考状态,DI_elecPower,0x266,0.0,0.1436,6.4,kW,input/tesla_model3_ONYX.dbc,available
E01,0.15,初始P挡参考状态,BMS_packVoltage,0x132,347.24,0.1415,8.5,V,input/tesla_model3_ONYX.dbc,available
E01,0.15,初始P挡参考状态,BMS_packCurrent,0x132,1.3,0.1415,8.5,A,input/tesla_model3_ONYX.dbc,available
E01,0.15,初始P挡参考状态,PackPower_derived,0x132,0.45141200000000004,0.1415,8.5,kW,"derived: BMS_packVoltage * BMS_packCurrent / 1000, same frame",available
E01,0.15,初始P挡参考状态,IBST_sInputRodDriver,0x39D,-0.015625,0.1168,33.2,mm,dbc/Model3CAN.dbc,available
E01,0.15,初始P挡参考状态,IBST_driverBrakeApply,0x39D,BRAKES_NOT_APPLIED,0.1168,33.2,enum/raw,dbc/Model3CAN.dbc,available
E01,0.15,初始P挡参考状态,IBST_internalState,0x39D,NO_MODE_ACTIVE,0.1168,33.2,enum/raw,dbc/Model3CAN.dbc,available
E01,0.15,初始P挡参考状态,VCLEFT_brakeSwitchPressed,0x3C2,0.0,0.1317,18.3,enum/raw,input/tesla_model3_ONYX.dbc,available
E01,0.15,初始P挡参考状态,BMS_socUI,0x292,32.5,0.0807,69.3,%,input/tesla_model3_ONYX.dbc,available
E02,20.0747,制动施加状态出现,DI_gear,0x118,P,20.0728,1.9,enum/raw,input/tesla_model3_ONYX.dbc,available
E02,20.0747,制动施加状态出现,DI_systemState,0x118,STANDBY,20.0728,1.9,enum/raw,input/tesla_model3_ONYX.dbc,available
