file,id,message,dlc,signal,start,length,byte_order,signed,scale,offset,minimum,maximum,unit,mux,mux_ids,choices,comment,message_comment,asc_frames,asc_dlcs
Model3CAN.dbc,0x123,ID123UI_alertMatrix1,8,UI_a015_TPMSOverPressureWarning,14,1,little_endian,False,1,0,0,1,,,,{},,,1706,"{""8"": 1706}"
Model3CAN.dbc,0x123,ID123UI_alertMatrix1,8,UI_a019_ParkBrakeFault,18,1,little_endian,False,1,0,0,1,,,,{},,,1706,"{""8"": 1706}"
Model3CAN.dbc,0x123,ID123UI_alertMatrix1,8,UI_a031_BrakeFluidLow,30,1,little_endian,False,1,0,0,1,,,,{},,,1706,"{""8"": 1706}"
Model3CAN.dbc,0x123,ID123UI_alertMatrix1,8,UI_a049_BrakeShiftRequired,48,1,little_endian,False,1,0,0,1,,,,{},,,1706,"{""8"": 1706}"
Model3CAN.dbc,0x145,ID145ESP_status,8,ESP_hydraulicBoostEnabled,19,1,little_endian,False,1,0,0,1,,,,{},,,0,{}
Model3CAN.dbc,0x145,ID145ESP_status,8,ESP_brakeLamp,21,1,little_endian,False,1,0,0,1,,,,"{""0"": ""LAMP_OFF"", ""1"": ""LAMP_ON""}",,,0,{}
Model3CAN.dbc,0x145,ID145ESP_status,8,ESP_absBrakeEvent2,22,2,little_endian,False,1,0,0,3,,,,"{""2"": ""ABS_EVENT_ACTIVE_FRONT"", ""1"": ""ABS_EVENT_ACTIVE_FRONT_REAR"", ""3"": ""ABS_EVENT_ACTIVE_REAR"", ""0"": ""ABS_EVENT_NOT_ACTIVE""}",,,0,{}
Model3CAN.dbc,0x145,ID145ESP_status,8,ESP_brakeDiscWipingActive,28,1,little_endian,False,1,0,0,1,,,,"{""1"": ""BDW_ACTIVE"", ""0"": ""BDW_INACTIVE""}",,,0,{}
Model3CAN.dbc,0x145,ID145ESP_status,8,ESP_driverBrakeApply,29,2,little_endian,False,1,0,0,3,,,,"{""2"": ""Driver_applying_brakes"", ""3"": ""Faulty_SNA"", ""0"": ""NotInit_orOff"", ""1"": ""Not_Applied""}",,,0,{}
Model3CAN.dbc,0x145,ID145ESP_status,8,ESP_brakeApply,31,1,little_endian,False,1,0,0,1,,,,"{""1"": ""BLS_ACTIVE"", ""0"": ""BLS_INACTIVE""}",,,0,{}
Model3CAN.dbc,0x145,ID145ESP_status,8,ESP_brakeTorqueTarget,51,13,little_endian,False,2,0,0,16382,Nm,,,"{""8191"": ""SNA""}",,,0,{}
Model3CAN.dbc,0x219,ID219VCSEC_TPMSData,5,VCSEC_TPMSPressure0,8,8,little_endian,False,0.025,0,0,6.35,bar,VCSEC_TPMSDataIndex,[0],"{""255"": ""SNA""}",,,1699,"{""7"": 1699}"
Model3CAN.dbc,0x219,ID219VCSEC_TPMSData,5,VCSEC_TPMSPressure1,8,8,little_endian,False,0.025,0,0,6.35,bar,VCSEC_TPMSDataIndex,[1],"{""255"": ""SNA""}",,,1699,"{""7"": 1699}"
Model3CAN.dbc,0x219,ID219VCSEC_TPMSData,5,VCSEC_TPMSPressure2,8,8,little_endian,False,0.025,0,0,6.35,bar,VCSEC_TPMSDataIndex,[2],"{""255"": ""SNA""}",,,1699,"{""7"": 1699}"
Model3CAN.dbc,0x219,ID219VCSEC_TPMSData,5,VCSEC_TPMSPressure3,8,8,little_endian,False,0.025,0,0,6.35,bar,VCSEC_TPMSDataIndex,[3],"{""255"": ""SNA""}",,,1699,"{""7"": 1699}"
Model3CAN.dbc,0x399,ID399DAS_status,8,DAS_autoparkWaitingForBrake,26,1,little_endian,False,1,0,0,1,,,,{},,,170,"{""3"": 170}"
Model3CAN.dbc,0x39D,ID39DIBST_status,5,IBST_statusChecksum,0,8,little_endian,False,1,0,0,255,,,,{},,,4249,"{""5"": 4249}"
Model3CAN.dbc,0x39D,ID39DIBST_status,5,IBST_statusCounter,8,4,little_endian,False,1,0,0,15,,,,{},,,4249,"{""5"": 4249}"
Model3CAN.dbc,0x39D,ID39DIBST_status,5,IBST_iBoosterStatus,12,3,little_endian,False,1,0,0,6,,,,"{""4"": ""IBOOSTER_ACTIVE_GOOD_CHECK"", ""6"": ""IBOOSTER_ACTUATION"", ""3"": ""IBOOSTER_DIAGNOSTIC"", ""2"": ""IBOOSTER_FAILURE"", ""1"": ""IBOOSTER_INIT"", ""0"": ""IBOOSTER_OFF"", ""5"": ""IBOOSTER_READY""}",,,4249,"{""5"": 4249}"
Model3CAN.dbc,0x39D,ID39DIBST_status,5,IBST_driverBrakeApply,16,2,little_endian,False,1,0,0,3,,,,"{""1"": ""BRAKES_NOT_APPLIED"", ""2"": ""DRIVER_APPLYING_BRAKES"", ""3"": ""FAULT"", ""0"": ""NOT_INIT_OR_OFF""}",,,4249,"{""5"": 4249}"
Model3CAN.dbc,0x39D,ID39DIBST_status,5,IBST_internalState,18,3,little_endian,False,1,0,0,6,,,,"{""4"": ""DIAGNOSTIC"", ""3"": ""EXTERNAL_BRAKE_REQUEST"", ""2"": ""LOCAL_BRAKE_REQUEST"", ""0"": ""NO_MODE_ACTIVE"", ""6"": ""POST_DRIVE_CHECK"", ""1"": ""PRE_DRIVE_CHECK"", ""5"": ""TRANSITION_TO_IDLE""}",,,4249,"{""5"": 4249}"
Model3CAN.dbc,0x39D,ID39DIBST_status,5,IBST_sInputRodDriver,21,12,little_endian,False,0.015625,-5,-5,47,mm,,,{},,,4249,"{""5"": 4249}"
Model3CAN.dbc,0x3E2,ID3E2VCLEFT_lightStatus,7,VCLEFT_brakeLightStatus,0,2,little_endian,False,1,0,0,3,,,,"{""2"": ""LIGHT_FAULT"", ""0"": ""LIGHT_OFF"", ""1"": ""LIGHT_ON"", ""3"": ""LIGHT_SNA""}",,,860,"{""7"": 860}"
Model3CAN.dbc,0x3E2,ID3E2VCLEFT_lightStatus,7,VCLEFT_brakeTrailerLightStatus,22,2,little_endian,False,1,0,0,3,,,,"{""2"": ""LIGHT_FAULT"", ""0"": ""LIGHT_OFF"", ""1"": ""LIGHT_ON"", ""3"": ""LIGHT_SNA""}",,,860,"{""7"": 860}"
Model3CAN.dbc,0x3E2,ID3E2VCLEFT_lightStatus,7,VCLEFT_dynamicBrakeLightStatus,44,2,little_endian,False,1,0,0,2,,,,"{""2"": ""DYNAMIC_BRAKE_LIGHT_ACTIVE_HIGH"", ""1"": ""DYNAMIC_BRAKE_LIGHT_ACTIVE_LOW"", ""0"": ""DYNAMIC_BRAKE_LIGHT_OFF""}",,,860,"{""7"": 860}"
Model3CAN.dbc,0x3E9,ID3E9DAS_bodyControls,8,DAS_dynamicBrakeLightRequest,22,1,little_endian,False,1,0,0,1,,,,{},,,345,"{""8"": 345}"
Model3CAN.dbc,0x3F8,ID3F8UI_driverAssistControl,8,UI_enableBrakeLightPulse,63,1,little_endian,False,1,0,0,1,,,,{},,,0,{}
Model3CAN.dbc,0x3E3,ID3E3VCRIGHT_lightStatus,2,VCRIGHT_brakeLightStatus,0,2,little_endian,False,1,0,0,3,,,,"{""2"": ""LIGHT_FAULT"", ""0"": ""LIGHT_OFF"", ""1"": ""LIGHT_ON"", ""3"": ""LIGHT_SNA""}",,,860,"{""4"": 860}"
Model3CAN.dbc,0x334,ID334UI_powertrainControl,8,UI_pedalMap,5,2,little_endian,False,1,0,0,2,,,,"{""0"": ""CHILL"", ""2"": ""PERFORMANCE"", ""1"": ""SPORT""}",,,340,"{""8"": 340}"
Model3CAN.dbc,0x7D5,ID7D5DIR_debug,8,DIR_veResForce,20,12,little_endian,True,0.0005,0,-1.024,1.0235,G,DIR_debugSelector,[41],{},,swapped with 757 in old firmware,5950,"{""8"": 5950}"
Model3CAN.dbc,0x7D5,ID7D5DIR_debug,8,DIR_oilPumpPressureEstimateMax,24,8,little_endian,False,2,0,0,500,kPa,DIR_debugSelector,[46],"{""255"": ""SNA""}",,swapped with 757 in old firmware,5950,"{""8"": 5950}"
Model3CAN.dbc,0x7D5,ID7D5DIR_debug,8,DIR_oilPumpPressureExpectedMin,32,8,little_endian,False,2,0,0,500,kPa,DIR_debugSelector,[46],"{""255"": ""SNA""}",,swapped with 757 in old firmware,5950,"{""8"": 5950}"
Model3CAN.dbc,0x7D5,ID7D5DIR_debug,8,DIR_brakeSwitchNO,62,1,little_endian,False,1,0,0,1,,DIR_debugSelector,[42],{},,swapped with 757 in old firmware,5950,"{""8"": 5950}"
Model3CAN.dbc,0x7D5,ID7D5DIR_debug,8,DIR_brakeSwitchNC,63,1,little_endian,False,1,0,0,1,,DIR_debugSelector,[42],{},,swapped with 757 in old firmware,5950,"{""8"": 5950}"
Model3CAN.dbc,0x757,ID757DIF_debug,8,DIF_veResForce,20,12,little_endian,True,0.0005,0,-1.024,1.0235,G,DIF_debugSelector,[41],{},,swapped with 7D5 in old firmware,0,{}
Model3CAN.dbc,0x757,ID757DIF_debug,8,DIF_oilPumpPressureEstimateMax,24,8,little_endian,False,2,0,0,500,kPa,DIF_debugSelector,[46],"{""255"": ""SNA""}",,swapped with 7D5 in old firmware,0,{}
Model3CAN.dbc,0x757,ID757DIF_debug,8,DIF_oilPumpPressureExpectedMin,32,8,little_endian,False,2,0,0,500,kPa,DIF_debugSelector,[46],"{""255"": ""SNA""}",,swapped with 7D5 in old firmware,0,{}
Model3CAN.dbc,0x757,ID757DIF_debug,8,DIF_brakeSwitchNO,62,1,little_endian,False,1,0,0,1,,DIF_debugSelector,[42],{},,swapped with 7D5 in old firmware,0,{}
Model3CAN.dbc,0x757,ID757DIF_debug,8,DIF_brakeSwitchNC,63,1,little_endian,False,1,0,0,1,,DIF_debugSelector,[42],{},,swapped with 7D5 in old firmware,0,{}
