time_s,can_id,raw_hex,asc_dlc,raw_start38,onyx_start38_kw,raw_start40,model3can_start40_kw
173.790000,0x212,59 dc 6f 41 83 47 52 53,8,286,35.75,583,72.875
173.891800,0x212,59 9c 6f 41 03 47 52 53,8,284,35.5,583,72.875
173.991000,0x212,59 9c 6f 41 83 47 52 53,8,286,35.75,583,72.875
174.090000,0x212,59 9c 6f 41 03 47 52 53,8,284,35.5,583,72.875
174.189900,0x212,59 5c 6f 41 83 47 52 53,8,286,35.75,583,72.875
174.290000,0x212,59 5c 6f 41 83 47 52 53,8,286,35.75,583,72.875
174.390000,0x212,59 1c 6f 41 83 47 52 53,8,286,35.75,583,72.875
174.490100,0x212,59 1c 6f 41 83 47 52 53,8,286,35.75,583,72.875
174.590000,0x212,59 dc 6e 41 03 47 52 53,8,284,35.5,583,72.875
174.690000,0x212,59 dc 6e 41 03 47 52 53,8,284,35.5,583,72.875
174.790300,0x212,59 9c 6e 41 83 47 52 53,8,286,35.75,583,72.875
174.892200,0x212,59 9c 6e 41 83 47 52 53,8,286,35.75,583,72.875
174.991100,0x212,59 9c 6e 41 03 47 52 53,8,284,35.5,583,72.875
175.090000,0x212,59 5c 6e 41 83 47 52 53,8,286,35.75,583,72.875
175.190000,0x212,59 5c 6e 41 83 47 52 53,8,286,35.75,583,72.875
175.290000,0x212,59 1c 6e 41 83 47 52 53,8,286,35.75,583,72.875
175.389900,0x212,59 1c 6e 41 83 47 52 53,8,286,35.75,583,72.875
175.489900,0x212,59 dc 6d 41 03 47 52 53,8,284,35.5,583,72.875
175.590000,0x212,59 dc 6d 41 83 47 52 53,8,286,35.75,583,72.875
175.690100,0x212,59 dc 6d 41 83 47 52 53,8,286,35.75,583,72.875
175.790100,0x212,59 9c 6d 41 83 47 52 53,8,286,35.75,583,72.875
175.891900,0x212,59 9c 6d 41 83 47 52 53,8,286,35.75,583,72.875
175.991000,0x212,59 5c 6d 41 03 47 52 53,8,284,35.5,583,72.875
176.090000,0x212,59 1c 6d 41 83 47 52 53,8,286,35.75,583,72.875
176.191000,0x212,59 1c 6d 41 83 47 52 53,8,286,35.75,583,72.875
176.289000,0x212,59 dc 6c 41 83 47 52 53,8,286,35.75,583,72.875
176.389900,0x212,59 dc 6c 41 03 47 52 53,8,284,35.5,583,72.875
176.490200,0x212,59 9c 6c 41 03 47 52 53,8,284,35.5,583,72.875
176.590100,0x212,59 9c 6c 41 03 47 52 53,8,284,35.5,583,72.875
176.690100,0x212,59 5c 6c 41 83 47 52 53,8,286,35.75,583,72.875
176.790200,0x212,59 5c 6c 41 83 47 52 53,8,286,35.75,583,72.875
176.891500,0x212,59 1c 6c 41 83 47 52 53,8,286,35.75,583,72.875
176.990000,0x212,59 dc 6b 41 83 47 52 53,8,286,35.75,583,72.875
177.091000,0x212,59 dc 6b 41 83 47 52 53,8,286,35.75,583,72.875
177.190600,0x212,59 9c 6b 41 83 47 52 53,8,286,35.75,583,72.875
177.290100,0x212,59 9c 6b 41 83 47 52 53,8,286,35.75,583,72.875
177.389900,0x212,59 5c 6b 41 83 47 52 53,8,286,35.75,583,72.875
177.490300,0x212,59 5c 6b 41 83 47 52 53,8,286,35.75,583,72.875
177.589600,0x212,59 1c 6b 41 83 47 52 53,8,286,35.75,583,72.875
177.690100,0x212,59 1c 6b 41 83 47 52 53,8,286,35.75,583,72.875
177.790100,0x212,59 1c 6b 41 03 47 52 53,8,284,35.5,583,72.875
177.892000,0x212,59 dc 6a 41 03 47 52 53,8,284,35.5,583,72.875
177.990400,0x212,59 dc 6a 41 83 47 52 53,8,286,35.75,583,72.875
178.090100,0x212,59 dc 6a 41 83 47 52 53,8,286,35.75,583,72.875
178.190300,0x212,59 9c 6a 41 83 47 52 53,8,286,35.75,583,72.875
178.290300,0x212,59 9c 6a 41 83 47 52 53,8,286,35.75,583,72.875
178.390100,0x212,59 9c 6a 41 83 47 52 53,8,286,35.75,583,72.875
178.490000,0x212,59 5c 6a 41 83 47 52 53,8,286,35.75,583,72.875
178.590100,0x212,59 5c 6a 41 83 47 52 53,8,286,35.75,583,72.875
178.690100,0x212,59 5c 6a 41 83 47 52 53,8,286,35.75,583,72.875
