rank,can_id,20s 按下驾驶窗手动下降按钮,22s 松开驾驶窗下降按钮,37s 按下（轻拉）驾驶窗手动上升按钮,42s 松开驾驶窗上升按钮,57s 按下驾驶窗自动下降档,72s 按下（拉到底）驾驶窗自动上升档,87s 再次按下驾驶窗手动下降按钮,89s 松开驾驶窗下降按钮,104s 再次按下（轻拉）驾驶窗手动上升按钮,109s 松开驾驶窗上升按钮
1,0x2B4,12bit/80次,9bit/66次,14bit/77次,9bit/68次,15bit/69次,13bit/65次,10bit/67次,13bit/63次,13bit/69次,8bit/55次
2,0x545,42bit/818次,40bit/898次,43bit/838次,39bit/861次,42bit/896次,42bit/869次,42bit/886次,41bit/889次,43bit/852次,40bit/875次
3,0x272,23bit/330次,22bit/330次,23bit/330次,22bit/330次,23bit/330次,23bit/330次,23bit/330次,23bit/330次,23bit/330次,22bit/330次
4,0x2C2,26bit/394次,25bit/375次,35bit/438次,20bit/300次,39bit/435次,34bit/429次,38bit/447次,30bit/420次,35bit/413次,25bit/360次
5,0x7A8,43bit/402次,41bit/399次,43bit/400次,42bit/402次,43bit/406次,43bit/400次,42bit/402次,42bit/396次,43bit/404次,44bit/401次
6,0x788,41bit/376次,41bit/381次,44bit/383次,40bit/382次,41bit/379次,41bit/391次,41bit/380次,42bit/384次,44bit/391次,40bit/382次
7,0x3C2,20bit/573次,19bit/570次,21bit/585次,19bit/570次,21bit/586次,20bit/575次,20bit/572次,20bit/574次,21bit/583次,19bit/570次
8,0x23A,47bit/66次,31bit/32次,2bit/3次,2bit/3次,45bit/62次,12bit/23次,2bit/3次,3bit/4次,28bit/35次,12bit/23次
9,0x382,0bit/0次,0bit/0次,1bit/1次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次
10,0x373,0bit/0次,1bit/1次,1bit/1次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,3bit/3次,3bit/3次,0bit/0次
11,0x23E,8bit/142次,8bit/142次,8bit/144次,52bit/200次,53bit/245次,32bit/165次,8bit/142次,8bit/143次,8bit/144次,8bit/142次
12,0x3A3,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,2bit/4次,0bit/0次,0bit/0次,0bit/0次,2bit/4次
13,0x3A1,39bit/936次,39bit/930次,41bit/908次,39bit/944次,38bit/882次,41bit/862次,39bit/904次,39bit/870次,40bit/890次,39bit/942次
14,0x622,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,0bit/0次,52bit/174次,8bit/16次,0bit/0次,10bit/20次
