rank,blind_score,can_id,profiles,roles,best_byte,best_bit_in_byte,evidence_count,dbc_known,dbc_message,sources
1,92.490,0x3C2,generic-event|window,事件附近变化|按钮事件:上升触发|按钮事件:下降触发|按钮事件:手动上升触发,4,0,8,yes,VCLEFT_switchStatus_EXP,generic-event:事件附近变化|window:按钮事件:上升触发|window:按钮事件:下降触发|window:按钮事件:手动上升触发
2,80.657,0x2B4,generic-event|window,事件附近变化|按钮事件:上升触发|按钮事件:下降触发|按钮事件:手动上升触发|运动过程,4,6,20,no,,generic-event:事件附近变化|window:按钮事件:上升触发|window:按钮事件:下降触发|window:按钮事件:手动上升触发|window:运动过程
3,78.797,0x2C2,generic-event|window,事件附近变化|按钮事件:上升触发|按钮事件:下降触发|按钮事件:手动上升触发|按钮事件:手动下降触发|运动过程,4,7,19,yes,EXP_leftWindowExecutionPosition,generic-event:事件附近变化|window:按钮事件:上升触发|window:按钮事件:下降触发|window:按钮事件:手动上升触发|window:按钮事件:手动下降触发|window:运动过程
4,78.710,0x272,generic-event|window,事件附近变化|按钮事件:上升触发|按钮事件:下降触发|按钮事件:手动上升触发|运动过程,2,0,5,no,,generic-event:事件附近变化|window:按钮事件:上升触发|window:按钮事件:下降触发|window:按钮事件:手动上升触发|window:运动过程
5,78.242,0x7A8,generic-event|window,事件附近变化|按钮事件:上升触发|按钮事件:下降触发|按钮事件:手动上升触发|运动过程,0,2,5,no,,generic-event:事件附近变化|window:按钮事件:上升触发|window:按钮事件:下降触发|window:按钮事件:手动上升触发|window:运动过程
6,77.414,0x545,generic-event|window,事件附近变化|按钮事件:上升触发|按钮事件:下降触发|按钮事件:手动上升触发|运动过程,1,2,10,yes,EXP_windowMotionFeedback_LEFT,generic-event:事件附近变化|window:按钮事件:上升触发|window:按钮事件:下降触发|window:按钮事件:手动上升触发|window:运动过程
7,73.650,0x23A,generic-event|window,事件附近变化|按钮事件:上升触发|按钮事件:下降触发,6,7,55,no,,generic-event:事件附近变化|window:按钮事件:上升触发|window:按钮事件:下降触发
8,73.514,0x788,generic-event|window,事件附近变化|按钮事件:上升触发|按钮事件:手动上升触发|运动过程,0,2,8,no,,generic-event:事件附近变化|window:按钮事件:上升触发|window:按钮事件:手动上升触发|window:运动过程
9,73.224,0x2C4,window,按钮事件:上升触发|按钮事件:手动上升触发,0,7,2,no,,window:按钮事件:上升触发|window:按钮事件:手动上升触发
10,70.912,0x3A1,generic-event|window,事件附近变化|按钮事件:上升触发|按钮事件:手动上升触发,7,0,4,no,,generic-event:事件附近变化|window:按钮事件:上升触发|window:按钮事件:手动上升触发
11,70.685,0x132,window,按钮事件:上升触发|按钮事件:手动上升触发,4,4,4,no,,window:按钮事件:上升触发|window:按钮事件:手动上升触发
12,70.343,0x373,generic-event|window,事件附近变化|按钮事件:手动上升触发|按钮事件:手动下降松开,0,1,3,no,,generic-event:事件附近变化|window:按钮事件:手动上升触发|window:按钮事件:手动下降松开
13,70.307,0x45A,window,按钮事件:下降触发|按钮事件:手动下降松开|按钮事件:手动下降触发,7,1,3,no,,window:按钮事件:下降触发|window:按钮事件:手动下降松开|window:按钮事件:手动下降触发
14,69.718,0x319,window,按钮事件:手动上升松开|按钮事件:手动下降松开|按钮事件:手动下降触发,1,1,10,no,,window:按钮事件:手动上升松开|window:按钮事件:手动下降松开|window:按钮事件:手动下降触发
15,69.254,0x234,window,按钮事件:上升触发|按钮事件:手动上升触发,3,1,4,no,,window:按钮事件:上升触发|window:按钮事件:手动上升触发
16,68.394,0x361,window,按钮事件:手动上升触发,0,0,3,no,,window:按钮事件:手动上升触发
17,67.503,0x3A2,window,按钮事件:上升触发|按钮事件:手动上升触发,3,4,5,no,,window:按钮事件:上升触发|window:按钮事件:手动上升触发
18,67.005,0x303,window,按钮事件:上升触发|按钮事件:手动上升松开|按钮事件:手动上升触发|按钮事件:手动下降松开|按钮事件:手动下降触发,1,5,27,no,,window:按钮事件:上升触发|window:按钮事件:手动上升松开|window:按钮事件:手动上升触发|window:按钮事件:手动下降松开|window:按钮事件:手动下降触发
19,66.491,0x330,window,按钮事件:下降触发|按钮事件:手动上升松开|按钮事件:手动上升触发|按钮事件:手动下降松开|按钮事件:手动下降触发,3,2,12,no,,window:按钮事件:下降触发|window:按钮事件:手动上升松开|window:按钮事件:手动上升触发|window:按钮事件:手动下降松开|window:按钮事件:手动下降触发
20,66.336,0x709,window,按钮事件:上升触发|按钮事件:手动上升松开|按钮事件:手动下降松开,2,3,6,no,,window:按钮事件:上升触发|window:按钮事件:手动上升松开|window:按钮事件:手动下降松开
21,65.969,0x302,window,按钮事件:上升触发|按钮事件:手动上升触发|按钮事件:手动下降松开|按钮事件:手动下降触发,1,5,15,no,,window:按钮事件:上升触发|window:按钮事件:手动上升触发|window:按钮事件:手动下降松开|window:按钮事件:手动下降触发
22,65.571,0x301,window,按钮事件:上升触发|按钮事件:手动上升触发|按钮事件:手动下降松开|按钮事件:手动下降触发,1,5,23,no,,window:按钮事件:上升触发|window:按钮事件:手动上升触发|window:按钮事件:手动下降松开|window:按钮事件:手动下降触发
23,65.214,0x3F2,window,按钮事件:上升触发|按钮事件:手动上升松开|按钮事件:手动上升触发|按钮事件:手动下降松开,4,6,11,no,,window:按钮事件:上升触发|window:按钮事件:手动上升松开|window:按钮事件:手动上升触发|window:按钮事件:手动下降松开
24,65.201,0x300,window,按钮事件:下降触发|按钮事件:手动上升松开|按钮事件:手动上升触发|按钮事件:手动下降松开|按钮事件:手动下降触发,1,3,35,no,,window:按钮事件:下降触发|window:按钮事件:手动上升松开|window:按钮事件:手动上升触发|window:按钮事件:手动下降松开|window:按钮事件:手动下降触发
25,64.802,0x372,window,按钮事件:手动下降触发,7,2,1,no,,window:按钮事件:手动下降触发
26,64.258,0x727,window,按钮事件:手动上升松开|按钮事件:手动下降松开,0,3,2,no,,window:按钮事件:手动上升松开|window:按钮事件:手动下降松开
27,63.306,0x53E,window,按钮事件:手动上升触发,0,3,2,no,,window:按钮事件:手动上升触发
28,62.381,0x70B,window,按钮事件:下降触发|按钮事件:手动上升触发,1,5,5,no,,window:按钮事件:下降触发|window:按钮事件:手动上升触发
29,61.345,0x400,window,按钮事件:下降触发,2,7,2,no,,window:按钮事件:下降触发
30,60.370,0x382,window,运动过程,1,0,1,no,,window:运动过程
31,59.008,0x724,window,按钮事件:手动上升触发,2,2,3,no,,window:按钮事件:手动上升触发
32,58.079,0x7B1,window,按钮事件:下降触发,0,2,29,no,,window:按钮事件:下降触发
33,50.092,0x383,window,按钮事件:下降触发,4,1,1,no,,window:按钮事件:下降触发
34,47.680,0x7C8,window,按钮事件:上升触发,1,4,11,no,,window:按钮事件:上升触发
35,39.125,0x726,window,按钮事件:下降触发|按钮事件:手动上升松开,0,3,2,no,,window:按钮事件:下降触发|window:按钮事件:手动上升松开
36,37.593,0x23E,generic-event,事件附近变化,1,3,1,no,,generic-event:事件附近变化
37,36.246,0x622,generic-event,事件附近变化,2,0,1,no,,generic-event:事件附近变化
38,36.215,0x3A3,generic-event,事件附近变化,1,4,2,no,,generic-event:事件附近变化
39,22.327,0x38B,window,按钮事件:上升触发,4,6,1,no,,window:按钮事件:上升触发
40,13.032,0x321,window,按钮事件:上升触发,6,7,1,no,,window:按钮事件:上升触发
