rank,can_id,20s 按下驾驶窗手动下降按钮,22s 松开驾驶窗下降按钮,37s 按下（轻拉）驾驶窗手动上升按钮,42s 松开驾驶窗上升按钮,57s 按下驾驶窗自动下降档,72s 按下（拉到底）驾驶窗自动上升档,87s 再次按下驾驶窗手动下降按钮,89s 松开驾驶窗下降按钮,104s 再次按下（轻拉）驾驶窗手动上升按钮,109s 松开驾驶窗上升按钮
1,0x372,453,459,457,463,453,459,463,465,473,457
2,0x3A8,88,89,90,90,88,90,88,88,88,88
3,0x324,6,4,6,2,10,6,5,5,5,4
4,0x352,52,52,37,52,36,51,36,36,53,37
5,0x712,132,138,142,134,122,134,139,138,135,132
6,0x401,483,489,471,484,478,491,487,478,490,475
7,0x320,20,20,20,20,20,20,20,20,20,20
8,0x285,222,222,222,222,222,222,222,222,222,222
9,0x7AA,538,528,518,530,515,524,515,526,537,507
10,0x289,78,75,75,75,75,75,75,78,78,78
11,0x253,6,6,6,6,6,6,6,6,6,6
12,0x4E2,226,203,201,227,201,202,197,203,216,216
13,0x23E,142,142,144,200,245,165,142,143,144,142
14,0x381,864,901,957,893,901,953,871,897,955,925
15,0x359,310,233,245,260,335,310,233,245,330,335
16,0x7B8,344,347,360,366,356,343,354,336,347,351
17,0x2C4,272,255,280,305,264,216,234,233,270,301
18,0x75D,112,121,112,131,126,98,128,115,112,128
19,0x2E3,152,150,164,169,155,173,146,166,157,162
20,0x2B4,80,66,77,68,69,65,67,63,69,55
21,0x3B2,154,100,139,83,127,84,127,146,97,119
22,0x719,328,307,336,340,331,314,320,320,332,332
23,0x39A,575,557,532,549,560,522,549,546,547,549
24,0x229,83,87,85,87,88,84,88,88,84,85
25,0x4E3,176,179,176,191,176,176,184,198,174,176
26,0x2F1,153,166,145,182,189,180,195,176,180,142
27,0x343,61,66,49,64,59,53,49,60,41,51
28,0x788,376,381,383,382,379,391,380,384,391,382
29,0x7FF,291,277,311,297,275,318,297,311,288,311
30,0x78A,191,191,199,202,193,199,193,185,193,192
