rank,blind_score,can_id,profiles,roles,best_byte,best_bit_in_byte,evidence_count,dbc_known,dbc_message,sources
1,125.734,0x372,generic-event|window,事件附近变化|瞬时请求候选,3,6,115,no,,generic-event:事件附近变化|window:瞬时请求候选
2,125.663,0x3A8,generic-event|window,事件附近变化|瞬时请求候选,0,1,66,no,,generic-event:事件附近变化|window:瞬时请求候选
3,125.374,0x324,generic-event|window,事件附近变化|瞬时请求候选,1,2,12,no,,generic-event:事件附近变化|window:瞬时请求候选
4,124.804,0x352,generic-event|window,事件附近变化|瞬时请求候选,0,1,63,no,,generic-event:事件附近变化|window:瞬时请求候选
5,124.520,0x712,generic-event|window,事件附近变化|瞬时请求候选,6,1,78,no,,generic-event:事件附近变化|window:瞬时请求候选
6,124.501,0x401,generic-event|window,事件附近变化|瞬时请求候选,0,4,60,no,,generic-event:事件附近变化|window:瞬时请求候选
7,124.105,0x320,generic-event|window,事件附近变化|瞬时请求候选,0,7,10,no,,generic-event:事件附近变化|window:瞬时请求候选
8,124.089,0x285,generic-event|window,事件附近变化|瞬时请求候选,3,3,66,no,,generic-event:事件附近变化|window:瞬时请求候选
9,123.571,0x7AA,generic-event|window,事件附近变化|瞬时请求候选,6,6,125,no,,generic-event:事件附近变化|window:瞬时请求候选
10,123.459,0x289,generic-event|window,事件附近变化|瞬时请求候选,4,3,14,no,,generic-event:事件附近变化|window:瞬时请求候选
11,123.286,0x253,generic-event|window,事件附近变化|瞬时请求候选,0,0,2,no,,generic-event:事件附近变化|window:瞬时请求候选
12,123.042,0x4E2,generic-event|window,事件附近变化|瞬时请求候选,2,2,77,no,,generic-event:事件附近变化|window:瞬时请求候选
13,123.023,0x23E,generic-event|window,事件附近变化|瞬时请求候选,7,7,53,no,,generic-event:事件附近变化|window:瞬时请求候选
14,122.963,0x381,generic-event|window,事件附近变化|瞬时请求候选,0,4,127,no,,generic-event:事件附近变化|window:瞬时请求候选
15,122.928,0x359,generic-event|window,事件附近变化|瞬时请求候选,0,1,102,no,,generic-event:事件附近变化|window:瞬时请求候选
16,122.881,0x7B8,generic-event|window,事件附近变化|瞬时请求候选,2,0,95,no,,generic-event:事件附近变化|window:瞬时请求候选
17,122.778,0x2C4,generic-event|window,事件附近变化|瞬时请求候选,3,1,115,no,,generic-event:事件附近变化|window:瞬时请求候选
18,122.680,0x75D,generic-event|window,事件附近变化|瞬时请求候选,0,1,84,no,,generic-event:事件附近变化|window:瞬时请求候选
19,122.632,0x2E3,generic-event|window,事件附近变化|瞬时请求候选,2,5,85,no,,generic-event:事件附近变化|window:瞬时请求候选
20,122.571,0x2B4,generic-event|window,事件附近变化|瞬时请求候选|运动过程,0,2,27,no,,generic-event:事件附近变化|window:瞬时请求候选|window:运动过程
21,122.563,0x3B2,generic-event|window,事件附近变化|瞬时请求候选,0,0,85,no,,generic-event:事件附近变化|window:瞬时请求候选
22,122.470,0x719,generic-event|window,事件附近变化|瞬时请求候选,0,3,87,no,,generic-event:事件附近变化|window:瞬时请求候选
23,122.456,0x39A,generic-event|window,事件附近变化|瞬时请求候选,0,4,51,no,,generic-event:事件附近变化|window:瞬时请求候选
24,122.385,0x229,generic-event|window,事件附近变化|瞬时请求候选,0,0,20,no,,generic-event:事件附近变化|window:瞬时请求候选
25,122.267,0x4E3,generic-event|window,事件附近变化|瞬时请求候选,1,1,73,no,,generic-event:事件附近变化|window:瞬时请求候选
26,122.235,0x2F1,generic-event|window,事件附近变化|瞬时请求候选,0,2,89,no,,generic-event:事件附近变化|window:瞬时请求候选
27,122.159,0x343,generic-event|window,事件附近变化|瞬时请求候选,3,4,17,no,,generic-event:事件附近变化|window:瞬时请求候选
28,122.074,0x788,generic-event|window,事件附近变化|瞬时请求候选|运动过程,2,4,85,no,,generic-event:事件附近变化|window:瞬时请求候选|window:运动过程
29,122.046,0x7FF,generic-event|window,事件附近变化|瞬时请求候选,0,1,103,no,,generic-event:事件附近变化|window:瞬时请求候选
30,122.012,0x78A,generic-event|window,事件附近变化|瞬时请求候选,4,0,60,no,,generic-event:事件附近变化|window:瞬时请求候选
31,122.000,0x798,generic-event|window,事件附近变化|瞬时请求候选,4,1,99,no,,generic-event:事件附近变化|window:瞬时请求候选
32,121.977,0x3DB,generic-event|window,事件附近变化|瞬时请求候选,0,1,41,no,,generic-event:事件附近变化|window:瞬时请求候选
33,121.911,0x2E2,generic-event|window,事件附近变化|瞬时请求候选,3,2,106,no,,generic-event:事件附近变化|window:瞬时请求候选
34,121.891,0x38A,generic-event|window,事件附近变化|瞬时请求候选,0,1,4,no,,generic-event:事件附近变化|window:瞬时请求候选
35,121.886,0x2B3,generic-event|window,事件附近变化|瞬时请求候选,4,6,126,no,,generic-event:事件附近变化|window:瞬时请求候选
36,121.882,0x3C8,generic-event|window,事件附近变化|瞬时请求候选,0,0,5,no,,generic-event:事件附近变化|window:瞬时请求候选
37,121.838,0x318,generic-event|window,事件附近变化|瞬时请求候选,7,2,19,no,,generic-event:事件附近变化|window:瞬时请求候选
38,121.832,0x718,generic-event|window,事件附近变化|瞬时请求候选,0,0,6,no,,generic-event:事件附近变化|window:瞬时请求候选
39,121.781,0x709,generic-event|window,事件附近变化|瞬时请求候选,0,0,54,no,,generic-event:事件附近变化|window:瞬时请求候选
40,121.781,0x249,generic-event|window,事件附近变化|瞬时请求候选,0,2,20,no,,generic-event:事件附近变化|window:瞬时请求候选
41,121.743,0x3F9,generic-event|window,事件附近变化|瞬时请求候选,0,1,7,no,,generic-event:事件附近变化|window:瞬时请求候选
42,121.727,0x3C0,generic-event|window,事件附近变化|瞬时请求候选,0,1,12,no,,generic-event:事件附近变化|window:瞬时请求候选
43,121.718,0x360,generic-event|window,事件附近变化|瞬时请求候选,0,1,12,no,,generic-event:事件附近变化|window:瞬时请求候选
44,121.676,0x379,generic-event|window,事件附近变化|瞬时请求候选,2,0,92,no,,generic-event:事件附近变化|window:瞬时请求候选
45,121.571,0x2F9,generic-event|window,事件附近变化|瞬时请求候选,3,5,47,no,,generic-event:事件附近变化|window:瞬时请求候选
46,121.567,0x3E8,generic-event|window,事件附近变化|瞬时请求候选,0,1,5,no,,generic-event:事件附近变化|window:瞬时请求候选
47,121.556,0x3A1,generic-event|window,事件附近变化|瞬时请求候选,7,5,57,no,,generic-event:事件附近变化|window:瞬时请求候选
48,121.539,0x7A8,generic-event|window,事件附近变化|瞬时请求候选|运动过程,2,2,85,no,,generic-event:事件附近变化|window:瞬时请求候选|window:运动过程
49,121.466,0x37A,generic-event|window,事件附近变化|瞬时请求候选,0,3,11,no,,generic-event:事件附近变化|window:瞬时请求候选
50,121.463,0x241,generic-event|window,事件附近变化|瞬时请求候选,0,1,2,no,,generic-event:事件附近变化|window:瞬时请求候选
51,121.460,0x219,generic-event|window,事件附近变化|瞬时请求候选,0,2,80,no,,generic-event:事件附近变化|window:瞬时请求候选
52,121.253,0x2C2,generic-event|window,事件附近变化|瞬时请求候选|运动过程,2,5,55,yes,EXP_leftWindowExecutionPosition,generic-event:事件附近变化|window:瞬时请求候选|window:运动过程
53,121.172,0x55A,generic-event|window,事件附近变化|瞬时请求候选,0,1,4,no,,generic-event:事件附近变化|window:瞬时请求候选
54,121.148,0x405,generic-event|window,事件附近变化|瞬时请求候选,0,0,80,no,,generic-event:事件附近变化|window:瞬时请求候选
