rank,can_id,20s 按下驾驶窗手动下降按钮,22s 松开驾驶窗下降按钮,37s 按下（轻拉）驾驶窗手动上升按钮,42s 松开驾驶窗上升按钮,57s 按下驾驶窗自动下降档,72s 按下（拉到底）驾驶窗自动上升档,87s 再次按下驾驶窗手动下降按钮,89s 松开驾驶窗下降按钮,104s 再次按下（轻拉）驾驶窗手动上升按钮,109s 松开驾驶窗上升按钮
1,0x2B4,80,66,77,68,69,65,67,63,69,55
2,0x545,818,898,838,861,896,869,886,889,852,875
3,0x272,330,330,330,330,330,330,330,330,330,330
4,0x2C2,394,375,438,300,435,429,447,420,413,360
5,0x7A8,402,399,400,402,406,400,402,396,404,401
6,0x788,376,381,383,382,379,391,380,384,391,382
7,0x3C2,573,570,585,570,586,575,572,574,583,570
8,0x23A,66,32,3,3,62,23,3,4,35,23
9,0x382,0,0,1,0,0,0,0,0,0,0
10,0x373,0,1,1,0,0,0,0,3,3,0
11,0x23E,142,142,144,200,245,165,142,143,144,142
12,0x3A3,0,0,0,0,0,4,0,0,0,4
13,0x3A1,936,930,908,944,882,862,904,870,890,942
14,0x622,0,0,0,0,0,0,174,16,0,20
15,0x32A,3,0,0,0,0,0,0,4,4,5
