can_id,byte,session_id,off_pre_mode_hex,off_pre_purity,off_pre_unique_values,on_mode_hex,on_purity,on_unique_values,off_post_mode_hex,off_post_purity,off_post_unique_values
0x1FA,B0,S0014,0x02,1.0,1,0x1A,1.0,1,0x02,1.0,1
0x1FA,B0,S0015,0x02,1.0,1,0x1A,1.0,1,0x02,1.0,1
0x1FA,B0,S0016,0x02,1.0,1,0x1A,1.0,1,0x02,1.0,1
0x1FA,B0,S0017,0x02,1.0,1,0x1A,1.0,1,0x02,1.0,1
0x1FA,B0,S0018,0x02,1.0,1,0x1A,1.0,1,0x02,1.0,1
0x20C,B1,S0014,0x00,0.46,3,0xFA,0.154545,16,0x40,0.172,8
0x20C,B1,S0015,0x20,0.328358,5,0x79,0.176364,16,0xC0,0.163347,8
0x20C,B1,S0016,0x00,0.26,5,0xB9,0.132727,24,0x40,0.156,8
0x20C,B1,S0017,0xC0,0.323383,5,0xB9,0.165455,16,0xA0,0.184739,8
0x20C,B1,S0018,0xE0,0.47,3,0xF9,0.228675,16,0x00,0.188,8
0x20C,B4,S0014,0x00,1.0,1,0x0E,1.0,1,0x00,1.0,1
0x20C,B4,S0015,0x00,1.0,1,0x0E,1.0,1,0x00,1.0,1
0x20C,B4,S0016,0x00,1.0,1,0x0E,1.0,1,0x00,1.0,1
0x20C,B4,S0017,0x00,1.0,1,0x0E,1.0,1,0x00,1.0,1
0x20C,B4,S0018,0x00,1.0,1,0x0E,1.0,1,0x00,1.0,1
0x20C,B5,S0014,0x80,1.0,1,0x81,0.981818,2,0x80,0.952,2
0x20C,B5,S0015,0x80,0.676617,2,0x91,0.647273,2,0x90,0.74502,2
0x20C,B5,S0016,0x80,0.89,2,0x81,0.847273,2,0x80,0.832,2
0x20C,B5,S0017,0x80,0.810945,2,0x91,0.552727,2,0x90,0.967871,2
0x20C,B5,S0018,0x90,1.0,1,0x91,1.0,1,0x90,1.0,1
0x20C,B6,S0014,0x08,1.0,1,0x38,1.0,1,0x08,1.0,1
0x20C,B6,S0015,0x08,1.0,1,0x38,1.0,1,0x08,1.0,1
0x20C,B6,S0016,0x08,1.0,1,0x38,1.0,1,0x08,1.0,1
0x20C,B6,S0017,0x08,1.0,1,0x38,1.0,1,0x08,1.0,1
0x20C,B6,S0018,0x08,1.0,1,0x38,1.0,1,0x08,1.0,1
0x20C,B7,S0014,0x00,1.0,1,0x0E,1.0,1,0x00,1.0,1
0x20C,B7,S0015,0x00,1.0,1,0x0E,1.0,1,0x00,1.0,1
0x20C,B7,S0016,0x00,1.0,1,0x0E,1.0,1,0x00,1.0,1
0x20C,B7,S0017,0x00,1.0,1,0x0E,1.0,1,0x00,1.0,1
0x20C,B7,S0018,0x00,1.0,1,0x0E,1.0,1,0x00,1.0,1
0x253,B7,S0014,0x15,1.0,1,0x05,1.0,1,0x15,1.0,1
0x253,B7,S0015,0x15,1.0,1,0x05,1.0,1,0x15,1.0,1
0x253,B7,S0016,0x15,1.0,1,0x05,1.0,1,0x15,1.0,1
0x253,B7,S0017,0x15,1.0,1,0x05,1.0,1,0x15,1.0,1
0x253,B7,S0018,0x15,1.0,1,0x05,1.0,1,0x15,1.0,1
0x282,B0,S0014,0x00,1.0,1,0x6C,0.501818,2,0x00,1.0,1
0x282,B0,S0015,0x00,1.0,1,0x6C,0.845455,2,0x00,1.0,1
0x282,B0,S0016,0x00,1.0,1,0x6C,0.894545,2,0x00,1.0,1
0x282,B0,S0017,0x00,1.0,1,0x6C,0.743636,2,0x00,1.0,1
0x282,B0,S0018,0x00,1.0,1,0x6C,0.702359,2,0x00,1.0,1
0x282,B1,S0014,0x00,1.0,1,0x1C,1.0,1,0x00,1.0,1
0x282,B1,S0015,0x00,1.0,1,0x1C,1.0,1,0x00,1.0,1
0x282,B1,S0016,0x00,1.0,1,0x1C,1.0,1,0x00,1.0,1
0x282,B1,S0017,0x00,1.0,1,0x1C,1.0,1,0x00,1.0,1
0x282,B1,S0018,0x00,1.0,1,0x1C,1.0,1,0x00,1.0,1
0x282,B2,S0014,0x00,1.0,1,0x72,1.0,1,0x00,1.0,1
0x282,B2,S0015,0x00,1.0,1,0x72,1.0,1,0x00,1.0,1
0x282,B2,S0016,0x00,1.0,1,0x72,1.0,1,0x00,1.0,1
