can_id,dlc,byte,bit,pattern,min_stage_purity,baseline,door_open,connected_idle,charging,stopped_connected,unlocked_connected,unplugged,roles
0x132,6,2,6,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x132,6,3,0,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x132,6,3,1,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x132,6,3,2,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x132,6,3,3,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x132,6,3,4,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x132,6,3,5,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x132,6,3,6,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x132,6,3,7,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x132,6,4,7,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x132,6,5,0,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x204,8,0,0,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x204,8,0,1,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x204,8,0,2,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x204,8,0,5,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x204,8,0,6,0001110,1.0,0,0,0,1,1,1,0,session_until_unplug
0x204,8,1,0,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x204,8,1,1,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x204,8,2,1,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x204,8,2,2,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x204,8,2,6,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x204,8,3,3,1110001,1.0,1,1,1,0,0,0,1,session_until_unplug
0x204,8,3,4,1110001,1.0,1,1,1,0,0,0,1,session_until_unplug
0x204,8,3,5,1110001,1.0,1,1,1,0,0,0,1,session_until_unplug
0x204,8,3,7,1110001,1.0,1,1,1,0,0,0,1,session_until_unplug
0x204,8,4,7,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x204,8,5,5,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x204,8,5,7,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x204,8,7,0,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x20A,6,5,4,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x212,8,0,0,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x212,8,1,3,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x212,8,1,4,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x212,8,2,5,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x212,8,3,6,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x212,8,4,0,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x212,8,5,0,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x212,8,5,1,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x212,8,5,5,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x212,8,5,6,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x212,8,5,7,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x212,8,6,0,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x212,8,6,1,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x212,8,6,2,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x212,8,6,6,1110001,1.0,1,1,1,0,0,0,1,session_until_unplug
0x212,8,7,0,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x212,8,7,5,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x21D,8,0,0,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x21D,8,0,1,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x21D,8,0,3,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x21D,8,0,5,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x21D,8,0,6,0010110,1.0,0,0,1,0,1,1,0,charge_execution
0x21D,8,1,6,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x21D,8,2,0,1100001,1.0,1,1,0,0,0,0,1,connection_cycle
0x21D,8,2,1,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x21D,8,2,2,1100001,1.0,1,1,0,0,0,0,1,connection_cycle
0x21D,8,2,4,1100001,1.0,1,1,0,0,0,0,1,connection_cycle
0x21D,8,2,5,1101001,1.0,1,1,0,1,0,0,1,charge_execution
0x21D,8,3,5,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x21D,8,4,7,0001110,1.0,0,0,0,1,1,1,0,session_until_unplug
0x21D,8,6,4,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x21D,8,6,5,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x228,8,3,0,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x228,8,3,1,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x228,8,5,7,1100001,1.0,1,1,0,0,0,0,1,connection_cycle
0x228,8,7,0,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x228,8,7,1,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x22A,4,2,2,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x232,8,0,6,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x232,8,1,1,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x24A,1,0,1,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x252,8,1,1,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x252,8,1,2,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x252,8,1,4,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x252,8,2,6,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x252,8,3,0,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x252,8,3,1,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x252,8,4,2,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x252,8,4,4,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x252,8,4,5,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x252,8,4,6,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x252,8,4,7,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x252,8,5,0,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x25D,8,0,2,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x25D,8,0,6,0111110,1.0,0,1,1,1,1,1,0,connection_cycle
0x25D,8,1,6,1100001,1.0,1,1,0,0,0,0,1,connection_cycle
0x25D,8,1,7,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x25D,8,2,5,0101110,1.0,0,1,0,1,1,1,0,session_until_unplug
0x25D,8,3,1,1000001,1.0,1,0,0,0,0,0,1,connection_cycle
0x25D,8,3,3,0111110,1.0,0,1,1,1,1,1,0,connection_cycle
0x25D,8,3,4,1100001,1.0,1,1,0,0,0,0,1,connection_cycle
0x25D,8,3,5,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x25D,8,3,7,0111110,1.0,0,1,1,1,1,1,0,connection_cycle
0x25D,8,5,0,0001110,1.0,0,0,0,1,1,1,0,session_until_unplug
0x264,6,1,3,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x264,6,1,4,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x264,6,2,4,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x264,6,2,6,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x264,6,2,7,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x264,6,3,6,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x264,6,4,5,1110001,1.0,1,1,1,0,0,0,1,session_until_unplug
0x264,6,4,6,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x264,6,4,7,1110001,1.0,1,1,1,0,0,0,1,session_until_unplug
0x264,6,5,0,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x288,8,3,0,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x288,8,3,1,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x288,8,5,7,1100001,1.0,1,1,0,0,0,0,1,connection_cycle
0x288,8,7,0,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x288,8,7,1,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x292,8,6,7,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x2A8,8,5,7,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x2AA,3,0,3,1100001,1.0,1,1,0,0,0,0,1,connection_cycle
0x2AA,3,0,6,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x2AA,3,2,3,1100001,1.0,1,1,0,0,0,0,1,connection_cycle
0x2D2,8,2,3,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x2D2,8,4,4,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x2D2,8,4,6,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x2D2,8,5,1,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x2D2,8,5,2,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x2D2,8,6,1,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x2D2,8,6,2,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x2D2,8,6,3,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x2D2,8,6,6,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x2D2,8,6,7,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x2E8,8,5,7,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x2EC,3,0,3,1100001,1.0,1,1,0,0,0,0,1,connection_cycle
0x2EC,3,0,6,0011110,1.0,0,0,1,1,1,1,0,connection_cycle
0x2EC,3,2,3,1100001,1.0,1,1,0,0,0,0,1,connection_cycle
0x318,8,5,2,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x32A,5,2,7,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x32A,5,3,0,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x32A,5,3,1,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x32A,5,3,2,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x32A,5,3,3,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x333,5,1,4,1110001,1.0,1,1,1,0,0,0,1,session_until_unplug
0x333,5,1,5,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x364,4,1,1,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x364,4,1,3,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x364,4,1,4,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x364,4,1,5,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x364,4,1,6,0001000,1.0,0,0,0,1,0,0,0,charge_execution
0x364,4,1,7,1110111,1.0,1,1,1,0,1,1,1,charge_execution
0x364,4,2,1,0011100,1.0,0,0,1,1,1,0,0,unlock_window
