experiment_id,signal_key,decision,override_role,override_priority,override_report_position,override_order,human_reason,reviewer,reviewed_at
TM3-015,CP_chargeDoorOpen,ACCEPT,,,,,其余未特别覆盖项原则接受Draft建议；候选语义仍须数据验证,用户,2026-09-01
TM3-015,CP_chargeCablePresent,ACCEPT,,,,,接受Draft建议；外部事件与车辆响应分开表达,用户,2026-09-01
TM3-015,CP_chargeCableSecured,ACCEPT,,,,,接受Draft建议；不替代实际安全确认,用户,2026-09-01
TM3-015,CP_latchState,ACCEPT,,,,,接受Draft建议；不替代实际安全确认,用户,2026-09-01
TM3-015,CP_evseChargeType,ACCEPT,,,,,接受Draft建议；车型语义仍须验证,用户,2026-09-01
TM3-015,CP_digitalCommsEstablished,ACCEPT,,,,,接受Draft建议；不等同完整握手,用户,2026-09-01
TM3-015,CP_evseRequest,OVERRIDE,请求候选,P1,CORE_TIMELINE+SPECIAL_TABLE,,请求主体和控制层级尚未确认,用户,2026-09-01
TM3-015,CP_evseAccept,OVERRIDE,许可反馈候选,P1,CORE_TIMELINE+SPECIAL_TABLE,,请求主体和控制层级尚未确认且不等同平台扫码支付接受,用户,2026-09-01
TM3-015,CP_gbState,OVERRIDE,专项状态机候选,P1,CORE_TIMELINE+SPECIAL_TABLE+ANALYSIS_WINDOW,,DBC位段位宽冲突未解决前不得承担P0充分性,用户,2026-09-01
TM3-015,CP_hvChargeStatus,ACCEPT,,,,,接受Draft建议；车型枚举仍须验证,用户,2026-09-01
TM3-015,CP_chargeShutdownRequest,OVERRIDE,专项停止请求候选,P1,SPECIAL_TABLE+ANALYSIS_WINDOW,,不预设为唯一正式停止请求；结合实际停止时刻和电流退出验证,用户,2026-09-01
TM3-015,CP_stopChargeRequest,OVERRIDE,专项停止请求候选,P1,SPECIAL_TABLE+ANALYSIS_WINDOW,,不预设为唯一正式停止请求；结合实际停止时刻和电流退出验证,用户,2026-09-01
TM3-015,BMS_chargeRequest,ACCEPT,,,,,接受Draft建议；进入Approved不升级车型语义,用户,2026-09-01
TM3-015,BMS_uiChargeStatus,ACCEPT,,,,,接受Draft建议；DBC冲突仍须复核,用户,2026-09-01
TM3-015,BMS_hvState,ACCEPT,,,,,接受Draft建议；直流充电枚举仍须验证,用户,2026-09-01
TM3-015,BMS_contactorState,ACCEPT,,,,,接受Draft建议；仅为安全条件部分证据,用户,2026-09-01
TM3-015,CP_evseOutputDcCurrent,ACCEPT,,,,,保持P0；作为直流电流建立与退出核心证据,用户,2026-09-01
TM3-015,CP_evseOutputDcVoltage,OVERRIDE,能源交叉验证,P1,CORE_TIMELINE+CORE_SIGNAL_TABLE+ANALYSIS_WINDOW,,电压存在本身不能定义充电开始,用户,2026-09-01
TM3-015,CP_dcPower_derived,ACCEPT,,,,,保持P1；作为能源交叉验证,用户,2026-09-01
TM3-015,BMS_packVoltage,OVERRIDE,能源交叉验证,P1,CORE_TIMELINE+CORE_SIGNAL_TABLE+ANALYSIS_WINDOW,,Pack实际充电建立以电流为核心；电压用于交叉验证和功率计算,用户,2026-09-01
TM3-015,BMS_packCurrent,ACCEPT,,,,,保持P0；Pack实际充电建立核心证据,用户,2026-09-01
TM3-015,PackPower_derived,ACCEPT,,,,,保持P1；符号约定须明确,用户,2026-09-01
TM3-015,BMS_chgPowerAvailable,ACCEPT,,,,,保持P1；Available不等于Request或Actual,用户,2026-09-01
TM3-015,BMS_socUI,ACCEPT,,,,,接受Draft建议,用户,2026-09-01
TM3-015,BMS_minPackTemperature,ACCEPT,,,,,接受Draft建议；热状态覆盖后续单独补审,用户,2026-09-01
TM3-015,PCS_dcdcLvBusVolt,ACCEPT,,,,,接受Draft建议；仅作为低压条件背景,用户,2026-09-01
TM3-015,CP_numAlertsSet,ACCEPT,,,,,接受Draft建议；不单独形成故障语义,用户,2026-09-01
TM3-015,CP_evseInstantDcCurrentLimit,EXCLUDE,,,,,节点绑定冲突解决前排除Approved核心证据；只允许DBC版本适配和工程审计,用户,2026-09-01
TM3-015,CP_evseMaxDcCurrentLimit,EXCLUDE,,,,,节点绑定冲突解决前排除Approved核心证据；只允许DBC版本适配和工程审计,用户,2026-09-01
TM3-015,CP_evseInstantDcPowerLimit,EXCLUDE,,,,,节点绑定冲突解决前排除Approved核心证据；只允许DBC版本适配和工程审计,用户,2026-09-01
TM3-015,DI_gear,ACCEPT,,,,,P2整车状态条件背景；只陈述与充电过程共存不反推OEM完整许可逻辑,用户,2026-09-01
TM3-015,DI_systemState,ACCEPT,,,,,P2整车系统状态条件背景；只陈述与充电过程共存不反推OEM完整许可逻辑,用户,2026-09-01
