signal_key,source,message,can_id,dbc_dlc,start_bit,bit_length,byte_order,signed,factor,offset,unit,definition_fingerprint
BMS_packVoltage,input\tesla_model3_ONYX.dbc,BMS_hvBusStatus,0x132,8,0,16,little_endian,False,0.01,0,V,132:8:0:16:little_endian:0:0.01:0
BMS_contactorState,input\tesla_model3_ONYX.dbc,BMS_status,0x212,8,8,3,little_endian,False,1,0,,212:8:8:3:little_endian:0:1:0
BMS_hvState,input\tesla_model3_ONYX.dbc,BMS_status,0x212,8,16,3,little_endian,False,1,0,,212:8:16:3:little_endian:0:1:0
BMS_nmGoingToSleep,input\tesla_model3_ONYX.dbc,BMS_vehNm,0x2F2,2,0,1,little_endian,False,1,0,,2F2:2:0:1:little_endian:0:1:0
BMS_hvsBusAsleep,input\tesla_model3_ONYX.dbc,BMS_vehNm,0x2F2,2,2,1,little_endian,False,1,0,,2F2:2:2:1:little_endian:0:1:0
BMS_nmKeepAwakeReason,input\tesla_model3_ONYX.dbc,BMS_vehNm,0x2F2,2,4,3,little_endian,False,1,0,,2F2:2:4:3:little_endian:0:1:0
DI_systemState,input\tesla_model3_ONYX.dbc,DI_systemStatus,0x118,8,16,3,little_endian,False,1,0,,118:8:16:3:little_endian:0:1:0
DI_gear,input\tesla_model3_ONYX.dbc,DI_systemStatus,0x118,8,21,3,little_endian,False,1,0,,118:8:21:3:little_endian:0:1:0
GTW_nmGoingToSleep,input\tesla_model3_ONYX.dbc,GTW_vehNm,0x458,7,0,1,little_endian,False,1,0,,458:7:0:1:little_endian:0:1:0
GTW_chBusAsleep,input\tesla_model3_ONYX.dbc,GTW_vehNm,0x458,7,2,1,little_endian,False,1,0,,458:7:2:1:little_endian:0:1:0
GTW_VEHBusAsleep,input\tesla_model3_ONYX.dbc,GTW_vehNm,0x458,7,3,1,little_endian,False,1,0,,458:7:3:1:little_endian:0:1:0
GTW_nmKeepAwakeReason,input\tesla_model3_ONYX.dbc,GTW_vehNm,0x458,7,4,4,little_endian,False,1,0,,458:7:4:4:little_endian:0:1:0
HVP_packContNegativeState,input\tesla_model3_ONYX.dbc,HVP_contactorState,0x20A,6,0,3,little_endian,False,1,0,,20A:6:0:3:little_endian:0:1:0
HVP_packContPositiveState,input\tesla_model3_ONYX.dbc,HVP_contactorState,0x20A,6,3,3,little_endian,False,1,0,,20A:6:3:3:little_endian:0:1:0
PCS_dcdcLvBusVolt,input\tesla_model3_ONYX.dbc,PCS_dcdcBusStatus,0x2B4,5,0,10,little_endian,False,0.0390625,0,V,2B4:5:0:10:little_endian:0:0.0390625:0
